	idx	natural_length	frequencies	natural	fcfs	caplan	caplan_low_temperature	fcfs_length	caplan_length	caplan_low_temperature_length
0	0	3	3678	his	reached	w	reached	7	1	7
1	1	5	2205	first	branie	f	branie	6	1	6
2	2	10	34	presidency	complies	cyickiodxs	complies	8	10	8
3	3	5	386	began	contropition	cizyvhasrdhrwetupcnelr	contropition	12	22	12
4	4	2	6266	on	compent	vmp	compent	7	3	7
5	5	9	349	september	disestion	yinlfywoprkhynev	disestion	9	16	9
6	6	3	1848	but	homes	joctsrlbrjgocul	homes	5	15	5
7	7	2	6212	he	designer	ux	designer	8	2	8
8	8	3	9895	was	rock	rscy	rock	4	4	4
9	9	6	1	ousted	party	obwtyee	party	5	7	5
10	10	2	22692	in	professions	p	professions	11	1	11
11	11	6	334	august	androw	aidsyi	androw	6	6	6
12	12	2	5324	by	parties	gmndutuyanepspx	parties	7	15	7
13	13	3	59196	the	classing	qlaSOSwuegn	classing	8	11	8
14	14	8	212	military	select	srlhdg	select	6	6	6
15	15	6	46	pierre	terrorism	wSOS	party	9	4	5
16	16	7	1	simonet	contitures	tznxnophg	terrorism	10	9	9
17	17	6	320	french	narrial	fonkyrutuhnovadz	contitures	7	16	10
18	18	8	4	militant	change	nriendlutydehzasvil	narrial	6	19	7
19	19	3	22182	and	annals	ilzhmpvtcamSOSSOSjadpldy	change	6	24	6
20	20	13	343	international	paint	tezhostm	annals	5	8	6
21	21	5	158	civil	antibully	pcive	paint	9	5	5
22	22	7	23	servant	disconservation	antuzgid	antibully	15	8	9
23	23	7	2	finders	shollog	diyptluxwyx	disconservation	7	11	15
24	24	7	1	weepers	expections	sh	shollog	10	2	7
25	25	2	6741	it	mirth	exnuimsppyopvspnsbamly	expections	5	22	10
26	26	2	12641	is	resist	mirttxkekpafya	mirth	6	14	5
27	27	4	1357	made	atterns	zboies	resist	7	6	6
28	28	8	26	reacting	surband	qtlevomrysfmthpdiuivalifutijos	atterns	7	30	7
29	29	6	26	sodium	accuption	kmzjmgm	surband	9	7	7
30	30	5	122	metal	trailed	zuSOScedwaz	accuption	7	11	9
31	31	4	5249	with	separity	wetqqesgnagtoku	trailed	8	15	7
32	32	6	79	liquid	surternal	njpolo	separity	9	6	8
33	33	2	3040	or	nethor	rdittesqvumyimm	surternal	6	15	9
34	34	7	2	gaseous	medition	nmoooox	nethor	8	7	6
35	35	7	7	ammonia	approsed	m	medition	8	1	8
36	36	8	107	pakistan	clene	apmhgsleinborbzocxb	approsed	5	19	8
37	37	4	209	says	madraster	vttnu	clene	9	5	5
38	38	4	589	area	harm	zhdm	madraster	4	4	9
39	39	11	10	uninhabited	withouse	SOSrpekt	harm	8	8	4
40	40	2	794	so	chart	witso	withouse	5	5	8
41	41	5	1781	there	clost	c	chart	5	1	5
42	42	2	756	no	flood	hlmyu	clost	5	5	5
43	43	7	105	problem	greates	fbscmblardippfmryzwlaj	flood	7	22	5
44	44	2	16487	to	roll	grewwpcdpscicspliezarus	greates	4	23	7
45	45	4	3357	this	cander	jxvnaq	roll	6	6	4
46	46	4	683	kitt	commotted	cnnpet	cander	9	6	6
47	47	4	743	peak	calman	czhuotmrc	commotted	6	9	9
48	48	3	2564	has	brook	kaumfannzqbryjr	calman	5	15	6
49	49	1	18541	a	structor	btnjy	brook	8	5	5
50	50	5	23	witch	bown	stitoroysnqoswap	structor	4	16	8
51	51	6	1442	called	hivhan	bvxidalvim	bown	6	10	4
52	52	6	2	hecate	product	hdyhknvlqu	hivhan	7	10	6
53	53	3	1537	who	tord	lxadsol	product	4	7	7
54	54	3	2910	not	projection	tohzcoucayenlkuzmurau	tord	10	21	4
55	55	10	53	previously	sheppear	irojrsrknutilydi	projection	8	16	10
56	56	9	33	mentioned	protonis	ujxlzdarnpehydayltaufmfs	sheppear	8	24	8
57	57	4	369	play	chanter	zzffowiands	protonis	7	11	8
58	58	5	545	since	secules	f	chanter	7	1	7
59	59	5	1	anons	pielle	sjoulesqual	secules	6	11	7
60	60	4	2334	have	arand	piSOSlcufbhrtqukk	pielle	5	17	6
61	61	9	11	disagreed	residence	admelipcb	arand	9	9	5
62	62	7	95	whether	alami	rhdiudojdicu	residence	5	12	9
63	63	9	11	anonymous	prised	wjahum	alami	6	6	5
64	64	6	236	should	resports	pkzkyuaseacrry	prised	8	14	6
65	65	5	49	focus	beleath	rbygfi	resports	7	6	8
66	66	6	2	pranks	coled	kgqeadionhms	beleath	5	12	7
67	67	13	142	entertainment	trately	evfedlelozmimilyeualtu	coled	7	22	5
68	68	7	60	serious	comedis	zettvl	trately	7	6	7
69	69	8	2	activism	intervivion	gjksmwsqev	comedis	11	10	7
70	70	4	1208	city	boky	iymwoud	intervivion	4	7	11
71	71	5	25	farms	heri	uyk	boky	4	3	4
72	72	3	1900	can	rice	offixialhmer	heri	4	12	4
73	73	4	2740	also	ascription	ribmcetrngiakix	rice	10	15	4
74	74	2	2768	be	champing	aycripe	ascription	8	7	10
75	75	9	3	nonprofit	sailed	qkicjn	champing	6	6	8
76	76	10	45	operations	flored	vai	sailed	6	3	6
77	77	4	5468	that	solus	fhinSOSzawxgauolfoxte	flored	5	21	6
78	78	4	92	grow	homals	sjyghucywho	solus	6	11	5
79	79	4	209	food	barried	housks	homals	7	6	6
80	80	3	6843	for	patrion	nbaufystug	barried	7	10	7
81	81	4	77	poor	hort	patrtuuk	patrion	4	8	7
82	82	8	16	homeless	reversely	hfxjssirfuwtowc	hort	9	15	4
83	83	6	2117	people	als	rsvhwuwz	reversely	3	8	9
84	84	8	31	playoffs	winges	zusbolkwzy	als	6	10	3
85	85	4	101	nine	bard	wudxdhmevw	winges	4	10	6
86	86	2	27444	of	shower	gaddcbyqie	bard	6	10	4
87	87	5	1092	these	sholk	yhjwoamouvt	shower	5	11	6
88	88	6	182	movies	preesed	rmls	sholk	7	4	5
89	89	2	205	co	michine	ySOSvea	preesed	7	7	7
90	90	7	54	starred	spong	miirgovhkcxficyhqh	michine	5	18	7
91	91	6	29	mickey	turrai	tiqn	spong	6	4	5
92	92	6	6	rooney	pennicles	tcurziqv	turrai	9	8	6
93	93	8	22	richmond	partical	jgnqsylssgfyerf	pennicles	8	15	9
94	94	5	703	north	deport	plyamuaiim	partical	6	10	8
95	95	4	438	east	descrited	deplieymtes	deport	9	11	6
96	96	6	39	corner	obsortains	SOStreng	descrited	10	8	9
97	97	3	8	nsw	grand	ojngsfiggsandjerifeshov	obsortains	5	23	10
98	98	4	325	next	handman	gecqparf	grand	7	8	5
99	99	10	38	queensland	controps	hahvemyoeud	handman	8	11	7
100	100	6	87	border	enaments	cwrovezsrortg	controps	8	13	8
101	101	4	492	west	frostic	efcotolwenyitxs	enaments	7	15	8
102	102	6	178	africa	specting	fyysii	frostic	8	6	7
103	103	11	17	provisional	sland	szqh	specting	5	4	8
104	104	4	119	flag	south	olyalrobsthnunod	sland	5	16	5
105	105	9	2	dainamese	boundship	soodex	south	9	6	5
106	106	6	203	empire	pirture	byumngjtoSOSphihel	boundship	7	18	9
107	107	1	604	e	ish	pisorgbclicyheeda	pirture	3	17	7
108	108	1	424	w	chermic	vshgirz	ish	7	7	3
109	109	4	176	elst	communists	bkvomfiltgpenbwaavadauji	chermic	10	24	7
110	110	7	2	lessing	chise	jnddgmhopohfsmmung	communists	5	18	10
111	111	4	101	kept	engree	fjpiyeSOSogns	chise	6	13	5
112	112	4	34	none	andred	ejatvhyzrc	engree	6	10	6
113	113	9	5	originals	alocasis	jwpSOSjob	andred	8	9	6
114	114	3	1653	her	pott	uloda	alocasis	4	5	8
115	115	5	268	early	expector	gp	pott	8	2	4
116	116	11	8	manuscripts	pirtician	evshencecie	expector	9	11	8
117	117	7	172	eastern	carrel	pmslougyerniq	pirtician	6	13	9
118	118	5	141	style	terrand	m	carrel	7	1	6
119	119	2	2	db	hard	tnjuchyldynbpnbnoy	terrand	4	18	7
120	120	1	78	o	cont	hatdmzaaxsabeay	hard	4	15	4
121	121	6	29	justin	mille	amptbynuyary	cont	5	12	4
122	122	10	10	timberlake	continued	mcsg	mille	9	4	5
123	123	4	1	audi	tingle	migwhltletldondbkkxewwfry	continued	6	25	9
124	124	7	1	alteram	charison	ojnbw	tingle	8	5	6
125	125	6	1	partem	testance	rhcuisoeas	charison	8	10	8
126	126	4	3767	they	designian	tustaagptwlpgb	testance	9	14	8
127	127	6	71	bought	salus	nsfhllSOSadgat	designian	5	14	9
128	128	7	490	english	propers	xakududadenuce	salus	7	14	5
129	129	4	6	wool	proper	quarliscjl	propers	6	10	7
130	130	7	180	chinese	short	ocurvl	proper	5	6	6
131	131	4	22	silk	contest	sqludu	short	7	6	5
132	132	5	7	woven	mashime	q	contest	7	1	7
133	133	4	1181	into	confired	mcfmtmvdun	mashime	8	10	7
134	134	4	1322	most	tand	kaviloabix	confired	4	10	8
135	135	11	13	magnificent	slorts	tgyfnerhwbimsiciksdy	tand	6	20	4
136	136	5	23	cloth	thire	klpttyxng	slorts	5	9	6
137	137	6	210	europe	proves	tpiq	thire	6	4	5
138	138	2	3760	at	hord	nykqhu	proves	4	6	6
139	139	9	9	riverside	protection	hsrizakonuacxf	hord	10	14	4
140	140	9	26	factories	algiers	q	protection	7	1	10
141	141	8	45	florence	chost	aljpjisy	algiers	5	8	7
142	142	4	667	best	chistophixian	ccozainzhavismiayice	chost	13	20	5
143	143	10	26	screenplay	actured	rwdwijoxiqhar	chistophixian	7	13	13
144	144	7	300	written	dependent	acikw	actured	9	5	7
145	145	8	71	directly	presidner	d	dependent	9	1	9
146	146	6	65	screen	remule	ho	presidner	6	2	9
147	147	7	90	biggest	savers	remulerec	remule	6	9	6
