	idx	natural_length	frequencies	natural	fcfs	caplan	caplan_low_temperature	fcfs_length	caplan_length	caplan_low_temperature_length
0	0	4	451	main	religenisation	rmlyb	religenisation	14	5	14
1	1	5	1	theek	colleve	uxtowmnotomdbolshileive	colleve	7	23	7
2	2	3	5	hun	precedent	trmwekfed	precedent	9	9	9
3	3	1	652	i	andarches	jnsaemdegzas	andarches	9	12	9
4	4	2	95	am	sieted	sritbdiageshewtergiopdiy	sieted	6	24	6
5	5	4	50	fine	nielogal	ni	nielogal	8	2	8
6	6	23	1	verwaltungsgemeinschaft	beard	gscodytfsormilushmonimiplar	beard	5	27	5
7	7	4	242	free	distructure	dkgtkuzdocnro	distructure	11	13	11
8	8	5	82	towns	hooder	hypzer	hooder	6	6	6
9	9	1	289	h	happing	hapqy	happing	7	5	7
10	10	9	35	debehogne	communicate	qocrwe	communicate	11	6	11
11	11	7	97	pacific	bram	buymubrw	bram	4	8	4
12	12	5	116	ocean	singer	orr	singer	6	3	6
13	13	2	22806	in	endercer	vebeulua	endercer	8	8	8
14	14	5	1454	about	terreditate	hiorednya	terreditate	11	9	11
15	15	6	2071	people	restion	roi	restion	7	3	7
16	16	12	19	participated	brounds	zwSOSpdocellntcks	brounds	7	17	7
17	17	4	841	over	servent	mdlcottexyhbymhstonilsbubua	servent	7	27	7
18	18	9	395	countries	archiens	av	archiens	8	2	8
19	19	6	11	sergei	attempts	atalzacter	attempts	8	10	8
20	20	8	1	mandreko	store	som	store	5	3	5
21	21	7	143	russian	registry	rggphtedwotamb	registry	8	14	8
22	22	5	5	tajik	survision	auburu	survision	9	6	9
23	23	10	51	footballer	developers	uevlvledkw	developers	10	10	10
24	24	5	42	rapid	treasures	jyrkvnwdglonuviclizneyt	treasures	9	23	9
25	25	4	20	wien	providuations	bvk	providuations	13	3	13
26	26	3	9	vfl	eli	jjyoewxneegorel	eli	3	15	3
27	27	6	5	bochum	bornally	bmwmallcupady	bornally	8	13	8
28	28	6	131	russia	sendance	vbyabc	sendance	8	6	8
29	29	8	885	national	dishing	dahhnu	dishing	7	6	7
30	30	4	772	team	significantly	sqg	significantly	13	3	13
31	31	3	22364	and	not	nw	not	3	2	3
32	32	7	116	manager	seen	zeeguiangfoedawgpegt	seen	4	20	4
33	33	8	204	problems	captures	kyfam	captures	8	5	8
34	34	6	245	caused	dant	fahtnah	dant	4	7	4
35	35	2	5239	by	lomaters	lomaoedtxkayesse	lomaters	8	16	8
36	36	3	8	als	anglet	azatete	anglet	6	7	6
37	37	6	269	george	honder	hicutuzeoi	honder	6	10	6
