	idx	natural_length	frequencies	natural	fcfs	caplan	caplan_low_temperature	fcfs_length	caplan_length	caplan_low_temperature_length
0	0	2	6358	he	supported	knoonfhls	supported	9	9	9
1	1	6	116	helped	approved	kpw	approved	8	3	8
2	2	3	788	out	hambirary	hwwokyrae	hambirary	9	9	9
3	3	2	3715	at	strial	q	strial	6	1	6
4	4	3	58714	the	transforms	tvsxajpkic	transforms	10	10	10
5	5	6	76	palace	eugrands	hunqmofv	eugrands	8	8	8
6	6	7	31	theater	tradial	kmmqiakoqbhithgesuoneqftsoyheaersodhy	tradial	7	37	7
7	7	2	22886	in	sperming	spubmpqokibashibs	sperming	8	17	8
8	8	3	391	red	decon	drnffeunhidfw	decon	5	13	5
9	9	4	114	bank	lea	lkc	lea	3	3	3
10	10	2	16593	to	beatelly	blacaglyrnsdcakpabl	beatelly	8	19	8
11	11	3	480	get	collection	viyev	collection	10	5	10
12	12	4	1173	into	arguants	grsaiwowhom	arguants	8	11	8
13	13	5	216	shows	advention	h	advention	9	1	9
14	14	3	6852	for	territy	kdimxyn	territy	7	7	7
15	15	4	221	free	recogn	xeimirazowcmqdsu	recogn	6	16	6
16	16	4	693	best	mercal	fjnlporbe	mercal	6	9	6
17	17	4	13	oral	therson	tudishrninkntprca	therson	7	17	7
18	18	3	135	sex	protection	kemkuyesres	protection	10	11	10
19	19	5	52	scene	eleven	emmenyustegnagiftk	eleven	6	18	6
20	20	2	6541	it	birg	biofmymglypstyml	birg	4	16	4
21	21	2	12602	is	promains	pkzanqwid	promains	8	9	8
22	22	4	1381	made	sease	nl	sease	5	2	5
23	23	2	5257	by	ara	acaylymdousurcume	ara	3	17	3
24	24	4	90	tell	barrier	fyelbbislgtdbi	barrier	7	14	7
25	25	4	24	tale	schanger	ucfgciurgbzsqedoyst	schanger	8	19	8
26	26	11	85	productions	chirtest	ghirSOSgjaiffsdbiji	chirtest	8	19	8
27	27	3	22071	and	compared	vojehygrkajythe	compared	8	15	8
28	28	4	44	nick	allega	alnhl	allega	6	5	6
29	29	2	88	jr	territa	weyw	territa	7	4	7
30	30	3	577	won	depott	wey	depott	6	3	6
31	31	4	73	fifa	composed	cwsox	composed	8	5	8
32	32	5	1226	world	captlo	cipclaskfaualkhytektyqhetnypadupryo	captlo	6	35	6
33	33	3	384	cup	libertation	lcyonzue	libertation	11	8	11
34	34	4	5175	with	indual	itezuest	indual	6	8	6
35	35	7	279	germany	aliginist	agreeqmstes	aliginist	9	11	9
36	36	8	855	national	provincial	pjbeoSOShiztndmikfahzuzhedzsrcd	provincial	10	31	10
37	37	4	823	team	progress	ovesseoh	progress	8	8	8
38	38	8	1	preamble	serva	z	serva	5	1	5
39	39	3	2953	not	architections	oowears	architections	13	7	13
40	40	1	19033	a	clushia	eluznupgablenic	clushia	7	15	7
41	41	3	307	law	trail	trlgevtkwode	trail	5	12	5
42	42	8	271	japanese	perton	pusvleziat	perton	6	10	6
43	43	6	112	womens	compressed	elmerslaccfrt	compressed	10	13	10
44	44	8	402	football	fineshiu	fbachevulhkscigrpy	fineshiu	8	18	8
45	45	5	2257	which	endered	npvudolum	endered	7	9	7
46	46	5	182	plays	enger	epcehuness	enger	5	10	5
47	47	9	9	nadeshiko	sought	oo	sought	6	2	6
48	48	6	750	league	tail	SOSknatverousge	tail	4	15	4
49	49	6	181	inside	chacistical	chaciyiialmgalange	chacistical	11	18	11
50	50	5	57	glass	louse	lozhz	louse	5	5	5
51	51	4	8	bulb	contered	idegdylehm	contered	8	10	8
52	52	5	1852	there	coaries	coarix	coaries	7	6	7
53	53	3	9901	was	boats	boaouyossce	boats	5	11	5
54	54	5	433	small	chap	jne	chap	4	3	4
55	55	5	102	metal	banns	bl	banns	5	2	5
56	56	4	26	wire	morth	yquxvgmmv	morth	5	9	5
57	57	5	406	large	rales	nalhky	rales	5	6	5
58	58	5	36	plate	arriance	hrh	arriance	8	3	8
59	59	9	3	battersea	campage	wfmlasoaswiraopznyfomwzs	campage	7	24	7
60	60	4	57	dogs	largan	lvaparbywehammort	largan	6	17	6
61	61	4	45	cats	sere	erveinss	sere	4	8	4
62	62	4	364	home	marrie	narridoesa	marrie	6	10	6
63	63	6	1246	united	pasts	ppwlirbs	pasts	5	8	5
64	64	8	26	kingdoms	chambilor	hhi	chambilor	9	3	9
65	65	6	83	oldest	loid	ywzwrtdlild	loid	4	11	4
66	66	4	1423	most	composers	gntklSOSbkumgqtgewwzkhst	composers	9	24	9
67	67	6	322	famous	plammers	plyava	plammers	8	6	8
68	68	5	670	north	andreg	avjuug	andreg	6	6	6
69	69	4	133	goes	sales	uvleanaxrrlqkslixo	sales	5	18	5
70	70	7	11	potomac	carda	havdrtt	carda	5	7	5
71	71	5	553	river	subseriments	ezmrauils	subseriments	12	9	12
72	72	5	659	south	archive	nhugtmenth	archive	7	10	7
73	73	5	289	james	state	eqpedenajlyrpcizi	state	5	17	5
74	74	5	15	pixar	direction	dirzilogapdiumbnolyloha	direction	9	23	9
75	75	9	63	animation	proved	punlftle	proved	6	8	6
76	76	7	69	studios	terences	z	terences	8	1	8
77	77	4	3764	they	procted	frocarswium	procted	7	11	7
78	78	3	5258	are	designed	xzzystsxwef	designed	8	11	8
79	79	9	68	broadcast	stations	nmpviapy	stations	8	8	8
80	80	3	364	air	terled	qdbcerwliokoaqs	terled	6	15	6
81	81	6	22	donkey	senter	fluirtzs	senter	6	8	6
82	82	4	77	kong	large	larghcaoms	large	5	10	5
83	83	5	1733	after	bablied	myghheqawlonds	morth	7	14	5
84	84	3	2002	she	depoted	jhgzwediwlanks	bablied	7	14	7
85	85	6	27	unesco	courone	yumlutynmer	depoted	7	11	7
86	86	11	96	competition	cathena	ceurpic	courone	7	7	7
87	87	5	1	riham	stuch	waenlyasbu	cathena	5	10	7
88	88	3	129	met	calling	houswggyvooehgypo	stuch	7	17	5
89	89	5	1	larbi	ause	hyizx	calling	4	5	7
90	90	7	1	sebbone	arthestor	brocgytywpe	compared	9	11	8
91	91	4	505	well	spicks	aule	ause	6	4	4
92	92	5	874	known	stript	SOSkzshfuxmweeq	arthestor	6	15	9
93	93	8	4	moroccan	transfital	hnfcoladdascdwaeehyfywi	spicks	10	23	6
94	94	12	1	caricaturist	langel	skodiearjzgf	stript	6	12	6
95	95	4	2722	were	massage	zarr	transfital	7	4	10
96	96	8	148	soldiers	nats	lawatlurhy	langel	4	10	6
97	97	2	6291	on	tiels	msscrkbuatiphev	massage	5	15	7
98	98	3	3	iwo	schood	ultsontehenfybb	nats	6	15	4
99	99	4	4	jima	caters	yiezs	tiels	6	5	5
100	100	9	99	beginning	contain	yyhwo	schood	7	5	6
101	101	2	27138	of	catters	gwoarct	caters	7	7	6
102	102	6	292	battle	bong	ruz	contain	4	3	7
103	103	4	1059	only	oriest	lsegeys	catters	6	7	7
104	104	5	168	taken	agent	boeonch	bong	5	7	4
105	105	8	23	prisoner	biolise	oichaanisual	oriest	7	12	6
106	106	3	374	end	panstage	zjlungxh	agent	8	8	5
107	107	4	18	mall	colous	bibngpshiyhing	biolise	6	14	7
108	108	9	50	organized	attervised	qgnlcatto	panstage	10	9	8
109	109	4	538	four	communds	ggi	colous	8	3	6
110	110	9	738	different	developated	awreikh	attervised	11	7	10
111	111	5	11	zones	medal	esemueddide	communds	5	11	8
112	112	4	595	each	southam	zzvyoviasua	developated	7	11	11
113	113	3	1467	its	dough	beihr	medal	5	5	5
114	114	3	369	own	surrounding	eowbyya	southam	11	7	7
115	115	10	8	decorative	shop	doune	dough	4	5	5
116	116	5	140	style	reduction	kzreobles	surrounding	9	9	11
117	117	2	890	so	atterstitution	nilcnasucact	shop	14	12	4
118	118	4	1659	many	senda	ruderqjr	reduction	5	8	9
119	119	4	484	main	carron	aSOSlnicadtuell	atterstitution	6	15	14
120	120	12	27	applications	serbian	jkygasla	senda	7	8	5
121	121	4	1281	more	continentation	maqSOSlbessav	carron	14	13	6
122	122	6	67	recent	alited	kfmuwsdhule	serbian	6	11	7
123	123	4	918	than	rand	ccgaded	continentation	4	7	14
124	124	9	118	available	compounds	grifuutjuszitndano	alited	9	18	6
125	125	4	1	etch	bulling	rkjlbuseqcempanavoo	rand	7	19	4
126	126	6	79	marine	electors	ecasmrasmsl	compounds	8	11	9
127	127	5	69	corps	prove	buoqusanoogc	bulling	5	12	7
128	128	7	1	welland	transported	eien	electors	11	4	8
129	129	7	67	ontario	call	prtij	prove	4	5	5
130	130	7	208	elected	compound	rvnlzqfuq	transported	8	9	11
131	131	5	432	japan	processing	ctouraghv	call	10	9	4
132	132	6	689	played	descriptive	v	compound	11	1	8
133	133	3	1390	all	cholera	owgaiostuwzum	processing	7	13	10
134	134	7	93	matches	abservation	vws	descriptive	11	3	11
135	135	1	334	t	rongle	cznwholtqnrstzaqsb	cholera	6	18	7
136	136	7	1	shivraj	thought	vySOSdropadie	protection	7	13	10
137	137	4	22	tomb	discontinued	ubfqyens	abservation	12	8	11
138	138	6	1	titian	alism	rwndlwlsld	rongle	5	10	6
139	139	6	24	venice	corner	thzvm	thought	6	5	7
140	140	3	344	big	marie	domaflsn	discontinued	5	8	12
141	141	3	169	bad	conspecting	oziimvd	alism	11	7	5
142	142	4	54	wolf	competited	coqineuibsaldwy	corner	10	15	6
143	143	6	22	eighth	cone	iysiuumnbailgageespm	marie	4	20	5
144	144	6	65	annual	guardara	nzegpkwygtsfsm	conspecting	8	14	11
145	145	8	5	backlash	colen	com	competited	5	3	10
146	146	3	7	ppv	active	vmoucmlytokoltivovorro	cone	6	22	4
147	147	4	484	john	bains	gpqruarfuigtqubs	guardara	5	16	8
148	148	6	7	horton	lats	pulked	colen	4	6	5
149	149	7	1	conways	mearing	yugzeutekpprevfed	active	7	17	6
150	150	4	349	book	cana	baSOSgod	bains	4	8	5
151	151	6	38	covers	lates	ljss	lats	5	4	4
152	152	2	3072	an	engagers	yeamikysmip	mearing	8	11	7
153	153	8	7	infinity	assisted	acludgreah	contain	8	10	7
154	154	5	402	games	demon	reflabil	cana	5	8	4
155	155	6	16	relief	lies	lntnalmpo	lates	4	9	5
156	156	6	136	centre	born	enpegraqhvia	engagers	4	12	8
157	157	3	299	set	paratory	vqnishbomecaemh	assisted	8	15	8
158	158	2	1034	up	cheasian	dimky	demon	8	5	5
159	159	8	7	kangaroo	magisse	nfewfohloqezmarivmprosyos	lies	7	25	4
160	160	4	60	flat	disagres	bcsmvhtiqazy	born	8	12	4
161	161	8	87	victoria	streetning	wimlaifnnu	paratory	10	10	8
162	162	6	50	senior	late	whhi	cheasian	4	4	8
163	163	8	37	citizens	holes	ma	magisse	5	2	7
164	164	11	1	carcassonne	defigued	fyyglyshobbs	disagres	8	12	8
165	165	13	1	walljpgcastle	anger	somnybwiltrhoearht	streetning	5	18	10
166	166	5	42	walls	seater	lbokkegojegaufhrzjfy	late	6	20	4
167	167	5	2129	first	curce	h	holes	5	1	5
168	168	7	309	written	allow	qhliklaunc	defigued	5	10	8
169	169	3	635	use	councess	aefpaiacomncuffevgidwh	anger	8	22	5
170	170	6	2	orchid	austron	otylrylndntki	seater	7	13	6
171	171	2	5577	as	results	cuqefmc	curce	7	7	5
172	172	5	147	color	trades	avabusrs	allow	6	8	5
173	173	4	710	name	horter	bjkweorspr	councess	6	10	8
174	174	7	465	english	combet	julfnonrrallgoa	austron	6	15	7
175	175	5	758	three	marces	xlq	results	6	3	7
