	idx	natural_length	frequencies	natural	fcfs	caplan	caplan_low_temperature	fcfs_length	caplan_length	caplan_low_temperature_length
0	0	8	23	minority	wing	whsb	wing	4	4	4
1	1	8	295	language	sale	goSOSea	sale	4	7	4
2	2	10	34	provincial	seller	seereblb	seller	6	8	6
3	3	8	786	national	mania	mhminatdwlym	mania	5	12	5
4	4	8	197	official	acesans	qwyqaudezhtywvelfieakip	acesans	7	23	7
5	5	6	120	source	adame	adtry	adame	5	5	5
6	6	4	53	fifa	shank	thfrckdedh	shank	5	10	5
7	7	5	95	rules	generation	gfayunituuzglyoutly	generation	10	19	10
8	8	3	6794	for	fining	yynuuhSOSchan	fining	6	13	6
9	9	14	22	classification	attract	ykzur	attract	7	5	7
10	10	13	1	tiebreakersin	standers	riindhymt	standers	8	9	8
11	11	3	58921	the	indiana	iSOSwjoouwsuabedica	indiana	7	19	7
12	12	5	174	round	dischers	xikpherochikipcegw	dischers	8	18	8
13	13	2	27289	of	bride	lbmiun	bride	5	6	5
14	14	4	16	lime	contradition	jurn	contradition	12	4	12
15	15	9	20	butterfly	harn	hlyulojenmd	harn	4	11	4
16	16	7	1	papilio	grander	gnitle	grander	7	6	7
17	17	8	1	demoleus	practicing	keaxsiarlbyeifssehoa	practicing	10	20	10
18	18	3	316	air	elecure	krkubqvSOSudSOSdr	elecure	7	17	7
19	19	3	1	chf	short	shoadxeyyvy	short	5	11	5
20	20	4	1	mshl	lander	larttmckhjh	lander	6	11	6
21	21	3	90	sir	stribut	jltpdug	stribut	7	7	7
22	22	4	563	john	charps	chnsqyie	charps	6	8	6
23	23	8	9	cheshire	stating	tcketiniseSOSsclfudid	stating	7	21	7
24	24	3	1	kbe	andercarne	gnkSOSacaojrqkdcujscontwecpeplokakosnm	andercarne	10	38	10
25	25	2	3	cb	arrord	awl	arrord	6	3	6
26	26	3	35	fat	munitial	munlocuavy	munitial	8	10	8
27	27	4	1189	city	carle	cn	carle	5	2	5
28	28	6	81	reason	alber	u	alber	5	1	5
29	29	3	86	why	strange	kyzdnik	strange	7	7	7
30	30	2	3030	an	compared	co	compared	8	2	8
31	31	6	347	island	subpects	gwqdxetthnluthyoaks	subpects	8	19	8
32	32	2	12711	is	letter	lmtaseypntnenatned	letter	6	18	6
33	33	11	3	uninhabited	carrients	cterpoqtlezytlguan	carrients	9	18	9
34	34	3	5213	are	parts	lSOSgssyemlrwrbooh	parts	5	18	5
35	35	5	616	often	hand	hrnlys	hand	4	6	4
36	36	9	17	practical	fering	omjicmcdaslynrc	fering	6	15	6
37	37	4	3698	they	trait	zrabulSOSzoeulroerrlyley	trait	5	24	5
38	38	3	234	too	troat	t	troat	5	1	5
39	39	5	468	small	doma	do	doma	4	2	4
40	40	5	1765	there	controlling	gypwtv	controlling	11	6	11
41	41	3	968	may	ches	kqvs	ches	4	4	4
42	42	2	2984	be	edison	xd	edison	6	2	6
43	43	2	801	no	sunters	synosamppeys	sunters	7	12	7
44	44	5	26	fresh	primorated	p	primorated	10	1	10
45	45	5	498	water	prostered	gbjswixe	prostered	9	8	9
46	46	2	6398	on	bolding	uqmoibl	bolding	7	7	7
47	47	2	22743	in	super	thpbccoukly	super	5	11	5
48	48	5	204	areas	hater	hatlomajpilb	hater	5	12	5
49	49	5	769	where	flower	fn	flower	6	2	6
50	50	1	419	s	moor	mzewriwjhenr	moor	4	12	4
51	51	1	18856	a	singers	siunmuqfejnedrmythmnroyhogslaudmw	singers	7	33	7
52	52	3	151	bad	sensible	binxtbelerzcoxahfty	sensible	8	19	8
