	idx	natural_length	frequencies	natural	fcfs	caplan	caplan_low_temperature	fcfs_length	caplan_length	caplan_low_temperature_length
0	0	2	22429	in	rate	watcal	rate	4	6	4
1	1	5	330	april	form	favs	form	4	4	4
2	2	2	574	us	strengthers	snhxzefzSOSfziezl	strengthers	11	17	11
3	3	12	43	intelligence	provest	latr	provest	7	4	7
4	4	9	46	officials	light	ligt	light	5	4	5
5	5	6	43	looked	helpton	hdSOScqqnep	helpton	7	11	7
6	6	4	1157	into	consecting	nondoumn	consecting	10	8	10
7	7	7	33	reports	sature	satowireeang	sature	6	12	6
8	8	3	58447	the	socially	sofiehux	socially	8	8	8
9	9	5	63	virus	invention	i	invention	9	1	9
10	10	3	1033	may	tollown	tynowssybaive	tollown	7	13	7
11	11	4	2339	have	pose	bmfreincreie	pose	4	12	4
12	12	7	508	started	structure	xjcdynlised	structure	9	11	9
13	13	2	5052	by	stread	scurdff	stread	6	7	6
14	14	2	3051	an	promoted	giomwockyoSOSlnfirczvial	promoted	8	24	8
15	15	8	56	accident	competity	rlieefqio	competity	9	9	9
16	16	3	2	wiv	aurine	wwrghi	aurine	6	6	6
17	17	10	113	scientists	stample	uxtupraturh	stample	7	11	7
18	18	8	25	studying	screen	bcdtwv	screen	6	6	6
19	19	4	16	bats	tunder	tjgdpbegdeweux	tunder	6	14	6
20	20	11	2	loggerheads	porter	qoqupsetfmstox	porter	6	14	6
21	21	4	481	live	approvition	kp	approvition	11	2	11
22	22	2	16545	to	constant	nj	constant	8	2	8
23	23	5	1035	years	treated	xleagemf	treated	7	8	7
24	24	2	3161	or	protesting	pylubithpless	protesting	10	13	10
25	25	4	1253	more	fellish	fe	fellish	7	2	7
26	26	5	325	major	formanity	ftulesqearcqipe	formanity	9	15	9
27	27	13	1	biogeographic	harp	hqapvicathovi	harp	4	13	4
28	28	6	8	realms	creester	erjpsblelSOSdushmh	creester	8	18	8
29	29	9	7	analogous	transistic	tupeukbogvox	transistic	10	12	10
30	30	5	189	seven	sincon	niphollys	sincon	6	9	6
31	31	11	13	terrestrial	come	cbuetmhv	come	4	8	4
32	32	8	2	ecozones	grant	go	grant	5	2	5
33	33	9	42	represent	constations	cypfushupoobvttmbnesk	constations	11	21	11
34	34	5	433	large	constitution	rya	constitution	12	3	12
35	35	7	105	regions	than	uo	than	4	2	4
36	36	2	27029	of	starch	vt	starch	6	2	6
37	37	5	140	ocean	caster	ulyqabdejypelv	caster	6	14	6
38	38	6	10	basins	maniform	mtnvjsm	maniform	8	7	8
39	39	5	692	north	feated	felxjiSOSmt	feated	6	11	6
40	40	9	13	temperate	wood	wvtpsnfghmltn	wood	4	13	4
41	41	8	126	atlantic	communism	cypmnej	communism	9	7	9
42	42	7	202	eastern	seattle	veys	seattle	7	4	7
43	43	8	194	tropical	turks	tuxfyc	turks	5	6	5
44	44	7	266	western	strate	omrawjiusiem	strate	6	12	6
45	45	5	702	south	statue	stevk	statue	6	5	6
46	46	4	35	indo	admont	odmy	admont	6	4	6
47	47	7	110	pacific	production	arl	production	10	3	10
48	48	7	304	central	patters	padijairdhias	patters	7	13	7
49	49	8	200	southern	sponses	apbkss	sponses	7	6	7
50	50	9	17	antarctic	blockh	jlscwfvy	blockh	6	8	6
51	51	6	22	arctic	rescured	rfuqcpuame	rescured	8	10	8
52	52	3	21964	and	constation	vehudrianiu	structure	10	11	9
53	53	13	35	mediterranean	constrection	cyembhtsonalapragzlalnh	constation	12	23	10
54	54	10	7	polynesian	mantile	naugl	constrection	7	5	12
55	55	8	51	airlines	courthere	gl	mantile	9	2	7
56	56	4	225	blue	doole	cou	courthere	5	3	9
57	57	7	1	einfach	traverson	dffawybjateoosa	doole	9	15	5
58	58	3	1	weg	recogning	tewporkcyylad	traverson	9	13	9
59	59	5	413	games	marin	rtxzburnbuorlanfognsonhahriumdpable	recogning	5	35	9
60	60	10	112	themselves	thouse	nlSOSiiqoungmcc	marin	6	15	5
61	61	4	2720	were	centered	tucvawiiteti	thouse	8	12	6
62	62	3	308	set	mac	lebodump	centered	3	8	8
63	63	4	913	part	loss	may	mac	4	3	3
64	64	8	5	oddworld	contraction	l	loss	11	1	4
65	65	6	1462	called	arr	laftSOS	contraction	3	7	11
66	66	5	1	mudos	represents	ohizonfytbvayirso	arr	10	17	3
67	67	7	2	arianna	construment	o	represents	11	1	10
68	68	4	19	haut	ennowners	wpopfugh	construment	9	8	11
69	69	10	176	washington	asternance	ezwoxnpulvamuzaka	ennowners	10	17	9
70	70	10	557	university	strings	aonk	asternance	7	4	10
71	71	2	352	st	matisties	ykknqucSOS	strings	9	10	7
72	72	10	1	louisstacy	poppine	extisxieinrstoncal	matisties	7	18	9
73	73	3	132	lee	electrors	kyyslawi	poppine	9	8	7
74	74	5	124	smith	domands	elccassawlvielvelydo	electrors	7	20	9
75	75	13	1	collegecorrie	suburb	dnmakdgjlanmstatac	domands	6	18	7
76	76	8	1	loeffler	leaving	tub	suburb	7	3	6
77	77	5	1	azusa	decention	lsyuyevviragcrea	leaving	9	16	7
78	78	15	1	universitysarah	patthers	ownleoldcSOSa	decention	8	13	9
79	79	6	134	martin	defension	nagkdy	patthers	9	6	8
80	80	8	593	anderson	brandson	dSOSjhojoegwbis	defension	8	15	9
81	81	10	200	california	newfoodwere	bhs	brandson	11	3	8
82	82	5	790	state	cleaster	neqdakkwiye	newfoodwere	8	11	11
