	idx	natural_length	frequencies	natural	fcfs	caplan	caplan_low_temperature	fcfs_length	caplan_length	caplan_low_temperature_length
0	0	6	628	second	classic	cl	classic	7	2	7
1	1	6	744	league	min	mad	min	3	3	3
2	2	8	2	rayleigh	staness	djx	staness	7	3	7
3	3	10	3	scattering	shinp	zh	shinp	5	2	5
4	4	7	8	defines	philisp	philetxwh	philisp	7	9	7
5	5	3	59419	the	seleval	kalav	seleval	7	5	7
6	6	6	120	amount	georgo	uqompoysqoevnls	georgo	6	15	6
7	7	2	27528	of	interesting	ihtvurmavyhopzeftcocissomy	interesting	11	26	11
8	8	5	274	light	porter	pwsbt	porter	6	5	6
9	9	4	18	rays	earl	eal	earl	4	3	4
10	10	3	2100	she	talling	tallgringtasuaed	talling	7	16	7
11	11	4	23	owns	performs	ytqupy	performs	8	6	8
12	12	11	3	sandringham	confire	olgicu	confire	7	6	7
13	13	5	424	house	pires	pikezsphditnelf	pires	5	15	5
14	14	8	2	balmoral	confession	zmeqwfyeikhihaarwi	confession	10	18	10
15	15	6	85	castle	theims	tyfises	theims	6	7	6
16	16	3	22278	and	carriest	gaek	carriest	8	4	8
17	17	5	1843	other	polities	popvesegsbootresrirr	polities	8	20	8
18	18	5	457	large	declared	dyralqi	declared	8	7	8
19	19	10	33	properties	destroced	waszdrcedstekse	destroced	9	15	9
20	20	8	372	children	shart	jbhwn	shart	5	5	5
21	21	5	496	under	subspect	aSOSm	subspect	8	5	8
22	22	3	1942	can	concern	ge	concern	7	2	7
23	23	4	2807	also	erno	qraoce	erno	4	6	4
24	24	6	99	create	internate	ipuluvma	internate	9	8	9
25	25	6	75	pieces	marin	myyjlhtinlbss	marin	5	13	5
26	26	4	553	work	flooder	q	flooder	7	1	7
27	27	4	16	earn	paper	dapffarik	paper	5	9	5
28	28	5	241	money	assusses	a	assusses	8	1	8
29	29	3	297	off	fas	fjp	fas	3	3	3
30	30	4	1015	them	charlengs	fkfullniakuxfkoryb	charlengs	9	18	9
31	31	5	57	happy	refuses	rezubigln	refuses	7	9	7
