	idx	natural_length	frequencies	natural	fcfs	caplan	caplan_low_temperature	fcfs_length	caplan_length	caplan_low_temperature_length
0	0	4	85	boys	wince	wcpcl	wince	5	5	5
1	1	5	50	enter	tructural	tyufvtraieg	tructural	9	11	9
2	2	3	58896	the	tradition	trfrkmofomkqnheybygjhlmonnocry	tradition	9	30	9
3	3	11	37	westminster	shamp	scamd	shamp	5	5	5
4	4	5	459	under	organ	ovimt	organ	5	5	5
5	5	6	557	school	increading	i	increading	10	1	10
6	6	4	1679	when	shout	shurm	shout	5	5	5
7	7	4	3700	they	trances	tqafoqpuuf	trances	7	10	7
8	8	3	5249	are	windome	wfeq	windome	7	4	7
9	9	5	175	seven	sugard	qugyudnseddwnredm	sugard	6	17	6
10	10	5	1019	years	boott	bjobthxergflsetsifumeduslixy	boott	5	28	5
11	11	3	410	old	hollows	holiwcricdrohs	hollows	7	14	7
12	12	5	66	youth	resongers	ryjodydessef	resongers	9	12	9
13	13	6	25	riding	bore	bjve	bore	4	4	4
14	14	1	18617	a	petage	kgeaft	petage	6	6	6
15	15	7	2	rooster	mantail	munwiischicikkdumyhhae	mantail	7	22	7
16	16	5	1058	these	surve	suije	surve	5	5	5
17	17	7	27	streets	darks	da	darks	5	2	5
18	18	5	58	exist	concentrated	rukiel	concentrated	12	6	12
19	19	2	22683	in	dian	di	dian	4	2	4
20	20	9	674	different	sundor	hs	sundor	6	2	6
21	21	6	1039	states	disconders	fo	disconders	10	2	10
22	22	10	158	washington	companion	ctvhly	companion	9	6	9
23	23	2	57	dc	communist	coquizzilj	communist	9	10	9
24	24	6	36	puerto	carrow	gi	carrow	6	2	6
25	25	4	27	rico	loge	luahknyprmieff	loge	4	14	4
26	26	5	11	stade	lita	lfjatxmals	lita	4	10	4
27	27	2	545	de	constituent	ckzexnuper	constituent	11	10	11
28	28	2	592	la	trail	qkofqapld	trail	5	9	5
29	29	9	1	beaujoire	companions	mmstasgrlwfraglksicyo	companions	10	21	10
