	idx	natural_length	frequencies	natural	fcfs	caplan	caplan_low_temperature	fcfs_length	caplan_length	caplan_low_temperature_length
0	0	6	39	johnny	suntain	tunuvapms	suntain	7	9	7
1	1	6	1	unitas	nearly	nerruzl	nearly	6	7	6
2	2	2	123	mr	tenter	tmbwsptnigh	tenter	6	11	6
3	3	6	57	albert	stave	fbpmyehts	stave	5	9	5
4	4	7	111	johnson	paint	glimmfnyytcairem	paint	5	16	5
5	5	2	6513	he	tarker	jaakby	tarker	6	6	6
6	6	3	10166	was	hunl	huelegly	hunl	4	8	4
7	7	1	18706	a	discovered	dhrkpxntdaingkligth	discovered	10	19	10
8	8	9	84	professor	place	flow	place	5	4	5
9	9	8	5	emeritus	barder	bxjzey	barder	6	6	6
10	10	2	27149	of	capes	zzcmibytpkytc	capes	5	13	5
11	11	11	48	mathematics	tire	uprwrannh	tire	4	9	4
12	12	3	22383	and	radium	zruidmfiild	radium	6	11	6
13	13	4	1	eecs	fall	yxdtnnovdowremarylye	fall	4	20	4
14	14	2	3769	at	popul	poyaczuakapm	popul	5	12	5
15	15	3	58691	the	caphorist	cizjonfatcbrnygchdskairccemo	caphorist	9	28	9
16	16	10	558	university	arrond	aswmldjmajshtc	arrond	6	14	6
17	17	10	210	california	realize	rharkpqumtokeuths	realize	7	17	7
18	18	8	11	berkeley	birth	givzm	birth	5	5	5
19	19	2	6477	on	dorthease	z	dorthease	9	1	9
20	20	5	796	state	dount	domnwie	dount	5	7	5
21	21	9	14	occasions	praised	qp	praised	7	2	7
22	22	4	1723	when	heat	hifedyauua	heat	4	10	4
23	23	5	153	queen	antincleas	aonsstllks	antincleas	10	10	10
24	24	2	2960	or	decide	iyvi	decide	6	4	6
25	25	7	453	another	challegon	kvwfzdeohibie	challegon	9	13	9
26	26	6	371	member	landers	lsnx	landers	7	4	7
27	27	5	202	royal	shirt	xnisdftbehsomarpt	shirt	5	17	5
28	28	6	558	family	mathlewal	gfwolunnfuptus	mathlewal	9	14	9
29	29	2	12548	is	concelt	ccokluhen	concelt	7	9	7
30	30	7	145	present	hola	qoSOSh	hola	4	6	4
31	31	5	80	bands	mas	qss	mas	3	3	3
32	32	9	33	household	monther	eotovswatxragesan	monther	7	17	7
33	33	7	13	cavalry	disclibed	dibylinbium	disclibed	9	11	9
34	34	4	74	wear	sicks	f	sicks	5	1	5
35	35	4	157	gold	colen	yxlaldrojmaztx	colen	5	14	5
36	36	5	11	coats	handson	h	handson	7	1	7
37	37	8	100	designed	santing	sagroaiakmstesp	santing	7	15	7
38	38	4	1423	time	represented	rzndrisaturedsaSOSmineyro	represented	11	25	11
39	39	4	485	king	shap	phln	shap	4	4	4
40	40	7	170	charles	belgen	beaztany	belgen	6	8	6
41	41	2	357	ii	rom	rowry	rom	3	5	3
42	42	4	1319	made	continectly	rin	continectly	11	3	11
43	43	5	2	braid	marchiana	wzrhdlevoef	marchiana	9	11	9
44	44	4	134	dark	land	lzuuhukayarusve	land	4	15	4
45	45	4	219	blue	everson	evensvegyhfypsehmusdyzharseecr	everson	7	30	7
46	46	6	7	velvet	refered	rwlet	refered	7	5	7
47	47	6	3	jockey	chairing	chdacitisatic	chairing	8	13	8
48	48	4	9	hats	thunkers	gyuxelgzenxs	thunkers	8	12	8
49	49	9	3	valentina	booker	vovot	booker	6	5	6
50	50	7	2	monetta	daised	opisderscuovdatuubaciwa	daised	6	23	6
51	51	3	2339	one	store	noovequalits	store	5	12	5
52	52	9	438	important	missed	yiggetnesis	missed	6	11	6
53	53	5	311	parts	rap	ian	rap	3	3	3
54	54	8	2	bahraini	tinals	tpoaaedn	tinals	6	8	6
55	55	7	116	culture	conter	gqutfryame	conter	6	10	6
56	56	8	27	drinking	companint	hmxyoacbratflo	companint	9	14	9
57	57	11	114	traditional	lapound	l	lapound	7	1	7
58	58	7	25	arabian	throws	tvra	throws	6	4	6
59	59	6	33	coffee	millest	vilz	millest	7	4	7
60	60	3	2106	she	entent	ewuy	entent	6	4	6
61	61	6	33	voiced	respective	rhsrc	respective	10	5	10
62	62	2	5184	by	constant	ndgay	constant	8	5	8
63	63	6	6	marsha	expensive	vmgaqfhtamjly	expensive	9	13	9
64	64	8	3	crenshaw	line	ljqr	line	4	4	4
65	65	4	22	nice	shower	nhoseqroqwordtow	shower	6	16	6
66	66	3	1858	but	norman	nsfffowecs	norman	6	10	6
67	67	5	1	jonna	theated	thutezdtoxozpitgedy	theated	7	19	7
68	68	7	1	dainels	provers	vucmxryhbidyszhkhaaywerm	provers	7	24	7
69	69	3	1722	her	sent	vd	sent	4	2	4
70	70	4	215	gave	stature	cpm	stature	7	3	7
71	71	9	184	character	destricts	jzhtukfctdobledga	destricts	9	17	9
72	72	7	457	british	consequence	ei	consequence	11	2	11
73	73	6	7	accent	publication	ojhaud	publication	11	6	11
74	74	8	43	competed	bombly	bzmraym	bombly	6	7	6
75	75	2	22908	in	stadings	wandamksciequert	stadings	8	16	8
76	76	5	18	allan	poer	zdeldabrezree	poer	4	13	4
77	77	3	372	cup	martas	mfetxs	martas	6	6	6
78	78	5	62	twice	terrories	xctpez	terrories	9	6	9
79	79	4	1299	more	norrico	nuccrripqedodsloodfodd	norrico	7	22	7
80	80	10	175	australian	legos	lekob	legos	5	5	5
81	81	2	29	gp	consecuting	cotbetwyy	consecuting	11	9	11
82	82	8	7	immortal	stack	vfguk	stack	5	5	5
83	83	7	1085	because	couse	jnthwz	couse	5	6	5
84	84	5	26	bears	conserving	ofymuk	conserving	10	6	10
85	85	4	118	code	stander	btfernlatf	stander	7	10	7
86	86	6	1	ancien	altern	keSOSnuctownvacksucceds	altern	6	23	6
87	87	9	1	egyptiant	cantil	cankla	cantil	6	6	6
88	88	3	303	men	fart	faztlyfnu	fart	4	9	4
89	89	4	29	wore	berry	bligxmoxelszopmwelogzahucnsproovenyxbt	berry	5	38	5
90	90	5	1	nemes	authering	lurwqkaltwogereepim	authering	9	19	9
91	91	9	1	headcloth	artican	afklixy	artican	7	7	7
92	92	6	16	lonely	abbatter	j	abbatter	8	1	8
93	93	3	384	man	architect	avfirazapqiulsmyman	architect	9	19	9
94	94	10	498	government	conference	dojufnnitoya	conference	10	12	10
